name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made,darkness_value,falchi_category
Unnamed POI,50.595753,14.4470458,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12935674,Modrá (Mírné znečištění)
Unnamed POI,50.5963026,15.2502894,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.15739956,Modrá (Mírné znečištění)
Unnamed POI,50.5975293,15.2555841,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.15739956,Modrá (Mírné znečištění)
Unnamed POI,50.5889304,14.4516361,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12963298,Modrá (Mírné znečištění)
Unnamed POI,49.7007574,17.5829178,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.09755626,Modrá (Mírné znečištění)
Unnamed POI,49.595023,18.147975,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.5908193,Tmavě zelená (Znečištěná)
Rozhledna Holedná,49.2147852,16.5443025,Unknown,Unknown,Unknown,information,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.326399,Žlutá (Velmi silné znečištění)
Unnamed POI,48.9756032,14.4704703,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,1.8108541,Žlutá (Velmi silné znečištění)
Unnamed POI,49.3934982,18.2501758,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.09541575,Modrá (Mírné znečištění)
Unnamed POI,49.3928396,18.2553162,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.09541575,Modrá (Mírné znečištění)
Unnamed POI,49.403204,18.2698783,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0926506,Modrá (Mírné znečištění)
Unnamed POI,49.01974,15.5686649,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.15803474,Modrá (Mírné znečištění)
Unnamed POI,48.9565852,16.7614189,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.21528347,Světle modrá (Střední znečištění)
Unnamed POI,50.5806964,14.4673969,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12678118,Modrá (Mírné znečištění)
Unnamed POI,50.5668988,13.9726898,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.21580765,Světle modrá (Střední znečištění)
Unnamed POI,50.1282485,14.3722025,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.8043848,Žlutá (Velmi silné znečištění)
Unnamed POI,50.1298264,14.3859359,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.8677274,Žlutá (Velmi silné znečištění)
Unnamed POI,49.6599709,18.1539101,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.41352126,Tmavě zelená (Znečištěná)
Unnamed POI,48.8178189,14.3135566,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.5378362,Tmavě zelená (Znečištěná)
Unnamed POI,49.2056632,16.5817383,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,2.081062,Žlutá (Velmi silné znečištění)
Unnamed POI,50.0482713,14.5172949,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.9412134,Oranžová (Extrémní znečištění)
Unnamed POI,49.0990947,14.1397928,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.08274693,Modrá (Mírné znečištění)
Unnamed POI,48.8566199,16.0453598,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,1.0315042,Zelená (Silné znečištění)
Unnamed POI,49.9713388,16.3783215,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.39185283,Tmavě zelená (Znečištěná)
Unnamed POI,49.2084276,16.6363116,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,2.1966615,Žlutá (Velmi silné znečištění)
Unnamed POI,49.2038669,16.6334668,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,2.3046844,Žlutá (Velmi silné znečištění)
Unnamed POI,49.2033859,16.6335481,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,2.3046844,Žlutá (Velmi silné znečištění)
Unnamed POI,50.001226,14.6774876,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,0.73906296,Zelená (Silné znečištění)
Unnamed POI,50.0001761,14.6805424,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.73906296,Zelená (Silné znečištění)
Unnamed POI,50.0669145,14.4919726,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,3.797383,Oranžová (Extrémní znečištění)
Markův kopec,49.5379791,18.2237475,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.43606642,Tmavě zelená (Znečištěná)
