name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Unnamed POI,50.680323,14.8601648,0.15920774638652802,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6877427,14.8999393,0.15758247673511505,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6874266,14.8822555,0.1524011790752411,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7001477,14.8803055,0.1584409922361374,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6981634,14.8769528,0.1584409922361374,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7829471,14.6724632,0.15015017986297607,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5394103,14.7209139,0.13940474390983582,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5838395,14.6708143,0.14832264184951782,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.808193,14.5478301,0.13337980210781097,Modrá (Mírné znečištění),Liberec,Unknown
Bezděz,50.594932,14.7479814,0.12349875271320343,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5957314,14.74682,0.12349875271320343,Modrá (Mírné znečištění),Liberec,Unknown
Břehyňský rybník a Máchovo jezero,50.5925584,14.7518438,0.125094935297966,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7688644,15.3775909,0.12613162398338318,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6221172,14.6784946,0.14235012233257294,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8224507,14.7268571,0.13854295015335083,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8224906,14.7269297,0.13854295015335083,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8224881,14.726794,0.13854295015335083,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Medvěd,50.7196893,15.4487226,0.12245185673236847,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Ovce,50.7195867,15.4475067,0.12245185673236847,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Horník,50.719323,15.4465084,0.12245185673236847,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.4670668,15.295953,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.4393984,15.2133796,0.13976885378360748,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8025717,14.6863013,0.13424403965473175,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7839587,14.7000986,0.14057192206382751,Modrá (Mírné znečištění),Liberec,Unknown
Drobošova vyhlídka,50.8061727,14.650349,0.13781246542930603,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8047741,14.6503804,0.13781246542930603,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5342571,15.2488555,0.15509212017059326,Modrá (Mírné znečištění),Liberec,Unknown
