name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Orlí skála,49.7232,17.7316,0.12130528688430786,Modrá (Mírné znečištění),Ostrava,Unknown
Ptačí kámen,50.8589,14.3339,0.11081896722316742,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Kamenická vyhlídka,50.8503,14.3444,0.11292338371276855,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Válečná díra,50.8213,14.357,0.13093797862529755,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Ronov,50.6204,14.4147,0.1470107138156891,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Puklá skála,50.6946,13.5857,0.13223138451576233,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Víťova vyhlídka,50.6494,14.2768,0.14121168851852417,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Vyhlídka,50.609,14.2795,0.1335000991821289,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Českosaské Švýcarsko,50.7644,14.3755,0.1486661732196808,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
vyhlídka,50.7553,14.3712,0.1479552686214447,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
vyhlídka,50.7482,14.366,0.1509707272052765,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
vyhlídka Liščí Hory,50.7323,14.357,0.1594589203596115,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Sedlo,50.6897,14.2833,0.15111371874809265,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
vyhlídka nad soutěskou,50.8003,14.3626,0.15305766463279724,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Lužické hory,50.7637,14.3774,0.1486661732196808,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
val,50.7708,14.384,0.14949391782283783,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Belvedér,50.8495,14.2214,0.1486290693283081,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Lužické hory a Markvartickou kotlinu,50.7959,14.379,0.1545463502407074,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
"výhled Jedlová, Sokol",50.8237,14.5028,0.12138499319553375,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Chřibskou,50.826,14.5011,0.12138499319553375,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Krásná vyhlídka,50.356,13.9712,0.15309394896030426,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Českosaské Švýcarsko,50.7809,14.4009,0.15283623337745667,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Růžovský vrch,50.7964,14.3763,0.1545463502407074,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Mravenečník,50.7003,13.5646,0.12093789875507355,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Máchova vyhlídka,50.6124,14.5074,0.1541973352432251,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Papinova vyhlídka,50.6287,14.4029,0.1513032615184784,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Vyhlídka republiky,50.8169,14.5284,0.12811186909675598,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Helfenburk,50.5819,14.3784,0.1278972029685974,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Opičí skálu,50.5896,14.378,0.12909924983978271,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Pod Budinou,50.5799,14.3566,0.13927772641181946,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Treppenstein,50.8598,14.3936,0.10520810633897781,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
výhled na Helfenburk,50.5815,14.3819,0.1278972029685974,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Vyhlídka Fénix,50.8742,14.2861,0.11636823415756226,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Vrše,49.1209,17.2624,0.12857793271541595,Modrá (Mírné znečištění),Zlín,Unknown
kamen s vyhlidkou,49.139,17.2526,0.12685313820838928,Modrá (Mírné znečištění),Zlín,Unknown
Kamenný stůl,49.2223,17.2526,0.15473678708076477,Modrá (Mírné znečištění),Zlín,Unknown
Výhled na chatu Bunč,49.1816,17.3481,0.1387026011943817,Modrá (Mírné znečištění),Zlín,Unknown
Výhled na Beskydy,49.6306,17.7128,0.1482616811990738,Modrá (Mírné znečištění),Zlín,Unknown
Cimburk,49.1036,17.2156,0.1289585679769516,Modrá (Mírné znečištění),Zlín,Unknown
Koryčanská kaple,49.0817,17.1991,0.140602707862854,Modrá (Mírné znečištění),Zlín,Unknown
Vyhlídkové místo Nad vlekem,49.1664,17.8357,0.14153867959976196,Modrá (Mírné znečištění),Zlín,Unknown
Vyhlídka U jelena,49.6215,17.6207,0.1308652013540268,Modrá (Mírné znečištění),Zlín,Unknown
Vyhlídka u hrušky,49.2334,17.9152,0.11643444746732712,Modrá (Mírné znečištění),Zlín,Unknown
Pozorovatelna Durch,49.1467,18.0791,0.10370001941919327,Modrá (Mírné znečištění),Zlín,Unknown
Výhled na Beskydy,49.6306,17.7128,0.1482616811990738,Modrá (Mírné znečištění),koprivnice_45min,Unknown
Babylon,49.3848,16.3598,0.13611213862895966,Modrá (Mírné znečištění),Brno,Unknown
Vyhlídka Nad Soutěskou,48.8648,16.6432,0.1526152491569519,Modrá (Mírné znečištění),Brno,Unknown
Malá skála,49.1364,16.2467,0.15204501152038574,Modrá (Mírné znečištění),Brno,Unknown
Wilsonova vyhlídka,49.1615,16.0898,0.1350226253271103,Modrá (Mírné znečištění),Brno,Unknown
vyhlídka u Heřmanova (608m n.m.),49.3765,16.1853,0.10333202034235,Modrá (Mírné znečištění),Brno,Unknown
Na babách,49.0994,16.2237,0.1567055881023407,Modrá (Mírné znečištění),Brno,Unknown
Velký kačer,49.1016,16.2459,0.1455267071723938,Modrá (Mírné znečištění),Brno,Unknown
Velká skála,49.1024,16.2407,0.14912591874599457,Modrá (Mírné znečištění),Brno,Unknown
Helišova skála,49.4125,16.7587,0.15979613363742828,Modrá (Mírné znečištění),Brno,Unknown
Pavlov,48.872,16.6556,0.1556442379951477,Modrá (Mírné znečištění),Brno,Unknown
Zatopený mlýn,49.133,16.1006,0.14423899352550507,Modrá (Mírné znečištění),Brno,Unknown
Magdalenina skála,49.1403,16.2362,0.14758095145225525,Modrá (Mírné znečištění),Brno,Unknown
Krahulcova vyhlídka,49.463,16.7202,0.15683422982692719,Modrá (Mírné znečištění),Brno,Unknown
Kamenný stůl,49.2223,17.2526,0.15473678708076477,Modrá (Mírné znečištění),Brno,Unknown
Velká Baba,49.0993,16.2253,0.15235775709152222,Modrá (Mírné znečištění),Brno,Unknown
Skalní vyhlídka,49.4484,16.3205,0.11336350440979004,Modrá (Mírné znečištění),Brno,Unknown
Výhled na vilu Mittrovských,49.4519,16.323,0.11336350440979004,Modrá (Mírné znečištění),Brno,Unknown
Výří skála,49.45,16.3021,0.10273100435733795,Modrá (Mírné znečištění),Brno,Unknown
Pochopova skála,49.3507,16.2837,0.11748486012220383,Modrá (Mírné znečištění),Brno,Unknown
Pochopova skála,49.3505,16.2835,0.11748486012220383,Modrá (Mírné znečištění),Brno,Unknown
Sochorská skála,49.3641,16.2829,0.11101548373699188,Modrá (Mírné znečištění),Brno,Unknown
Vyhlídkové místo Kamínky,49.4813,16.512,0.14679008722305298,Modrá (Mírné znečištění),Brno,Unknown
Halířova skála,49.1862,16.0159,0.11701878905296326,Modrá (Mírné znečištění),Brno,Unknown
Dvořákova vyhlídka,49.1718,16.0462,0.12007855623960495,Modrá (Mírné znečištění),Brno,Unknown
Amorova vyhlídka,49.3552,16.3492,0.1520197093486786,Modrá (Mírné znečištění),Brno,Unknown
Malý Rabštýn,49.7229,17.4518,0.12711267173290253,Modrá (Mírné znečištění),Olomouc,Unknown
Křížový vrch,49.8629,17.1784,0.09991060197353363,Modrá (Mírné znečištění),Olomouc,Unknown
U Tety,49.7478,16.5794,0.12502598762512207,Modrá (Mírné znečištění),Olomouc,Unknown
Baba - 639,49.7321,17.4247,0.13014797866344452,Modrá (Mírné znečištění),Olomouc,Unknown
Bašta,49.513,16.885,0.13237999379634857,Modrá (Mírné znečištění),Olomouc,Unknown
Arboretum Makču Pikču,49.8173,17.2225,0.14432360231876373,Modrá (Mírné znečištění),Olomouc,Unknown
Bradlo,49.8541,17.0543,0.13405360281467438,Modrá (Mírné znečištění),Olomouc,Unknown
Výhled na Janoslavice,49.8485,16.9822,0.15243114531040192,Modrá (Mírné znečištění),Olomouc,Unknown
Vyhlídkové místo u Honzíkova kříže,49.4608,16.8779,0.12708820402622223,Modrá (Mírné znečištění),Olomouc,Unknown
Švédská skála,49.7137,17.7544,0.14049790799617767,Modrá (Mírné znečištění),Olomouc,Unknown
Nad Doly,49.7664,16.5834,0.11815927177667618,Modrá (Mírné znečištění),Olomouc,Unknown
Helišova skála,49.4125,16.7587,0.15979613363742828,Modrá (Mírné znečištění),Olomouc,Unknown
Strážisko,49.637,17.4784,0.15933722257614136,Modrá (Mírné znečištění),Olomouc,Unknown
Chochola,49.5379,16.8686,0.14834055304527283,Modrá (Mírné znečištění),Olomouc,Unknown
Krahulcova vyhlídka,49.463,16.7202,0.15683422982692719,Modrá (Mírné znečištění),Olomouc,Unknown
Kamenný stůl,49.2223,17.2526,0.15473678708076477,Modrá (Mírné znečištění),Olomouc,Unknown
Kočičí vrch,49.8017,17.431,0.13800883293151855,Modrá (Mírné znečištění),Olomouc,Unknown
Výhled na Beskydy,49.6306,17.7128,0.1482616811990738,Modrá (Mírné znečištění),Olomouc,Unknown
swing_gate,49.6939,17.4813,0.13407257199287415,Modrá (Mírné znečištění),Olomouc,Unknown
Vyhlídka U jelena,49.6215,17.6207,0.1308652013540268,Modrá (Mírné znečištění),Olomouc,Unknown
Orlí skála,49.7232,17.7316,0.12130528688430786,Modrá (Mírné znečištění),Olomouc,Unknown
Velké Hradisko,49.8019,16.1705,0.09427444636821747,Modrá (Mírné znečištění),Hradec Králové,Unknown
vyhlídka Míru,50.4666,15.2912,0.14626269042491913,Modrá (Mírné znečištění),Hradec Králové,Unknown
Hlaholská vyhlídka,50.467,15.2957,0.15158526599407196,Modrá (Mírné znečištění),Hradec Králové,Unknown
Vyhlídka pražského pěveckého sboru Křížkovský,50.4664,15.2992,0.15158526599407196,Modrá (Mírné znečištění),Hradec Králové,Unknown
Vyhlídka na hrad Potštejn,50.0754,16.3014,0.13201750814914703,Modrá (Mírné znečištění),Hradec Králové,Unknown
Barunčina vyhlídka,50.4477,15.9981,0.14344143867492676,Modrá (Mírné znečištění),Hradec Králové,Unknown
Zámeček,49.8027,16.1685,0.09427444636821747,Modrá (Mírné znečištění),Hradec Králové,Unknown
U transformátoru,50.4679,16.0223,0.1480594277381897,Modrá (Mírné znečištění),Hradec Králové,Unknown
Hromobitka,50.4535,16.0213,0.14651386439800262,Modrá (Mírné znečištění),Hradec Králové,Unknown
Mečov,50.4644,16.017,0.1480594277381897,Modrá (Mírné znečištění),Hradec Králové,Unknown
Krkonošská vyhlídka,50.4665,15.6055,0.11839862167835236,Modrá (Mírné znečištění),Hradec Králové,Unknown
Byšičky,50.4192,15.6101,0.1440424770116806,Modrá (Mírné znečištění),Hradec Králové,Unknown
U třešně,50.4469,16.0376,0.15601220726966858,Modrá (Mírné znečištění),Hradec Králové,Unknown
Karolínina vyhlídka,50.4967,15.7678,0.11837416142225266,Modrá (Mírné znečištění),Hradec Králové,Unknown
Výhled z Faltova kopce,50.4567,16.0401,0.15941551327705383,Modrá (Mírné znečištění),Hradec Králové,Unknown
U Spáleného mostu,50.0868,16.3125,0.14279069006443024,Modrá (Mírné znečištění),Hradec Králové,Unknown
Vinice vyhlídka,50.0466,16.0553,0.15536226332187653,Modrá (Mírné znečištění),Hradec Králové,Unknown
Vyhlídka na Kaňon,49.8389,15.9712,0.13364194333553314,Modrá (Mírné znečištění),Hradec Králové,Unknown
Malé Hradisko,49.8026,16.1702,0.09427444636821747,Modrá (Mírné znečištění),Hradec Králové,Unknown
Hráz rybníku Dolní Peklo,49.867,15.6093,0.13803955912590027,Modrá (Mírné znečištění),Hradec Králové,Unknown
Kazabrud,50.4965,15.6095,0.11425133794546127,Modrá (Mírné znečištění),Hradec Králové,Unknown
Zvičina,50.4549,15.6942,0.11508540064096451,Modrá (Mírné znečištění),Hradec Králové,Unknown
Alžbětina vyhlídka,50.4537,15.7072,0.11700064688920975,Modrá (Mírné znečištění),Hradec Králové,Unknown
Vojtěchův kopec,49.7281,15.9773,0.08970049768686295,Modrá (Mírné znečištění),Pardubice,Unknown
Velké Hradisko,49.8019,16.1705,0.09427444636821747,Modrá (Mírné znečištění),Pardubice,Unknown
Čertův stolek,49.714,15.7124,0.1191708892583847,Modrá (Mírné znečištění),Pardubice,Unknown
Barunčina vyhlídka,50.4477,15.9981,0.14344143867492676,Modrá (Mírné znečištění),Pardubice,Unknown
Zámeček,49.8027,16.1685,0.09427444636821747,Modrá (Mírné znečištění),Pardubice,Unknown
U transformátoru,50.4679,16.0223,0.1480594277381897,Modrá (Mírné znečištění),Pardubice,Unknown
Hromobitka,50.4535,16.0213,0.14651386439800262,Modrá (Mírné znečištění),Pardubice,Unknown
Mečov,50.4644,16.017,0.1480594277381897,Modrá (Mírné znečištění),Pardubice,Unknown
Tisá skála,49.8452,15.419,0.11576149612665176,Modrá (Mírné znečištění),Pardubice,Unknown
Byšičky,50.4192,15.6101,0.1440424770116806,Modrá (Mírné znečištění),Pardubice,Unknown
U třešně,50.4469,16.0376,0.15601220726966858,Modrá (Mírné znečištění),Pardubice,Unknown
Výhled z Faltova kopce,50.4567,16.0401,0.15941551327705383,Modrá (Mírné znečištění),Pardubice,Unknown
U Spáleného mostu,50.0868,16.3125,0.14279069006443024,Modrá (Mírné znečištění),Pardubice,Unknown
Vinice vyhlídka,50.0466,16.0553,0.15536226332187653,Modrá (Mírné znečištění),Pardubice,Unknown
Vyhlídka na Kaňon,49.8389,15.9712,0.13364194333553314,Modrá (Mírné znečištění),Pardubice,Unknown
Malé Hradisko,49.8026,16.1702,0.09427444636821747,Modrá (Mírné znečištění),Pardubice,Unknown
Sokolohrady,49.7148,15.7137,0.1191708892583847,Modrá (Mírné znečištění),Pardubice,Unknown
Hráz rybníku Dolní Peklo,49.867,15.6093,0.13803955912590027,Modrá (Mírné znečištění),Pardubice,Unknown
Louštín,50.1639,13.7937,0.14099226891994476,Modrá (Mírné znečištění),Praha,Unknown
Čertova vyhlídka,49.7859,15.0272,0.1263379156589508,Modrá (Mírné znečištění),Praha,Unknown
Světovina,49.8683,13.7423,0.13862383365631104,Modrá (Mírné znečištění),Praha,Unknown
Masarykova vyhlídka,50.0352,13.923,0.15829338133335114,Modrá (Mírné znečištění),Praha,Unknown
Výhled na Vlašim,49.725,14.8453,0.12403394281864166,Modrá (Mírné znečištění),Praha,Unknown
Pohled z úbočí Malého Travného,49.5607,18.5436,0.12380828708410263,Modrá (Mírné znečištění),koprivnice_60min,Unknown
Zbojnická,49.4363,18.4647,0.08723567426204681,Modrá (Mírné znečištění),koprivnice_60min,Unknown
Skalní ostroh,49.8034,17.7747,0.14436154067516327,Modrá (Mírné znečištění),koprivnice_60min,Unknown
