name,lat,lon,darkness_value,falchi_category
Sedlo,49.19,13.5693,0.061445035,Tmavě modrá (Slabé znečištění)
Pod Janíkem,49.5462,18.1979,0.45207644,Tmavě zelená (Znečištěná)
Malá Skála,50.6193,14.0551,0.3629949,Tmavě zelená (Znečištěná)
Hradiště,49.8113,13.6178,0.14851919,Modrá (Mírné znečištění)
Vyhlídka Havránka,50.1199,14.4219,2.8807688,Oranžová (Extrémní znečištění)
Bohdalec,49.6226,16.1438,0.08491739,Modrá (Mírné znečištění)
Skalka,49.2241,16.7542,0.47899625,Tmavě zelená (Znečištěná)
Lom Hády,49.2199,16.6742,1.2544203,Zelená (Silné znečištění)
Plešivec,50.566,14.0881,0.26825458,Světle modrá (Střední znečištění)
Krkavčí skála,50.5864,14.0846,0.25134805,Světle modrá (Střední znečištění)
Hradiště,50.5689,14.1138,0.28687698,Světle modrá (Střední znečištění)
Vyhlídka Vojty Náprstka,49.2955,14.4799,0.17636867,Světle modrá (Střední znečištění)
Hrad Krupka,50.6849,13.8559,0.582237,Tmavě zelená (Znečištěná)
Malá skála,49.1364,16.2467,0.15204501,Modrá (Mírné znečištění)
Harrachova skála,50.7285,15.5747,0.12643088,Modrá (Mírné znečištění)
vyhlídka,50.676,14.0751,0.8514355,Zelená (Silné znečištění)
Na Oklikách,49.0985,16.3996,0.35070154,Tmavě zelená (Znečištěná)
Krašov,49.9489,13.5887,0.08416201,Modrá (Mírné znečištění)
Hradčanská vyhlídka,50.6179,14.6976,0.13962758,Modrá (Mírné znečištění)
Bílá skála,49.8216,13.6506,0.11881636,Modrá (Mírné znečištění)
Wilsonova vyhlídka,49.1615,16.0898,0.13502263,Modrá (Mírné znečištění)
Květnice,49.3584,16.4146,0.3044184,Světle modrá (Střední znečištění)
chata Hrádek,49.6169,18.7709,0.19788986,Světle modrá (Střední znečištění)
Juránkova vyhlídka,50.3409,16.1592,0.21511789,Světle modrá (Střední znečištění)
Koníček,50.3732,16.1862,0.16651727,Světle modrá (Střední znečištění)
Trniště,50.7741,15.1578,0.3166058,Světle modrá (Střední znečištění)
Nedvězí,50.507,14.5292,0.124905325,Modrá (Mírné znečištění)
Divoký důl,50.0793,17.2029,0.06222279,Tmavě modrá (Slabé znečištění)
Vyhlídka Finkenstein 688m,50.7426,15.2431,0.3036499,Světle modrá (Střední znečištění)
Skalní vyhlídka,50.7517,15.2813,0.25154305,Světle modrá (Střední znečištění)
Bílá skála,50.7396,15.3753,0.13165072,Modrá (Mírné znečištění)
BOROVSKÉ SKÁLY,50.731,15.4057,0.13078527,Modrá (Mírné znečištění)
Šulíkova skála,50.7304,15.3237,0.2473903,Světle modrá (Střední znečištění)
Terezínka,50.7304,15.3059,0.31445855,Světle modrá (Střední znečištění)
Frýdlantské Cimbuří,50.8562,15.2171,0.12431101,Modrá (Mírné znečištění)
Vyhlídka na jihozápad,50.3852,14.2878,0.23341782,Světle modrá (Střední znečištění)
Albertovy skály,49.7254,14.3681,0.107299455,Modrá (Mírné znečištění)
Velká Panoráma,50.6117,16.1132,0.10833636,Modrá (Mírné znečištění)
Javorový kopec,49.5863,16.3263,0.08798347,Modrá (Mírné znečištění)
Böhmova vyhlídka,50.6206,15.3053,0.21641687,Světle modrá (Střední znečištění)
Hradek,50.3782,14.925,0.55575883,Tmavě zelená (Znečištěná)
kamenné moře,50.1568,16.7906,0.06139506,Tmavě modrá (Slabé znečištění)
Švédské šance,50.3888,14.927,0.79354596,Zelená (Silné znečištění)
Labska vyhlidka,50.8286,14.2192,0.18797234,Světle modrá (Střední znečištění)
Plánický hřeben,49.4285,13.2752,0.22877483,Světle modrá (Střední znečištění)
Vyhlídka nad Tanvaldem,50.735,15.3114,0.2849588,Světle modrá (Střední znečištění)
Velká klečová louka,50.8312,15.2444,0.114248745,Modrá (Mírné znečištění)
Jelínkův most,49.9155,14.0485,0.3802989,Tmavě zelená (Znečištěná)
Skalní vyhlídka,50.7504,15.3758,0.12804517,Modrá (Mírné znečištění)
Rysí skála,50.0883,17.1486,0.069320485,Tmavě modrá (Slabé znečištění)
Bellarie,49.8459,17.8476,0.17831436,Světle modrá (Střední znečištění)
Černá stěna,50.8579,15.2306,0.120674685,Modrá (Mírné znečištění)
Muchov,50.7247,15.2934,0.25897452,Světle modrá (Střední znečištění)
Vyhlídka,50.3854,14.2911,0.23341782,Světle modrá (Střední znečištění)
