name,lat,lon
Rogalová rampa,50.3616,13.1704
Raisova vyhlídka,50.5618,15.1276
Holenická vyhlídka na Trosky,50.5217,15.3168
Švamberk view,50.2662,16.1164
Chateau view,50.2633,16.1172
Baba - 639,49.7321,17.4247
Zelený vrch,50.8207,15.2823
Jiráskova chata,50.4008,16.1911
Šibenik,50.5561,15.9063
Rozhledna U majáku na Přítlucké hoře,48.8639,16.7711
Rozhledna Kozlovský kopec,49.8813,16.4256
Rozhledna Kožich,49.5713,13.444
Řípská vyhlídka,50.5048,14.5404
Strážnice,50.232,17.5985
Vojtěchovská rozhledna,49.7802,15.9798
Krkatá bába,49.3821,16.5293
Stezka korunami stromů Lipno,48.6527,14.2307
Solárka,49.5809,18.3198
Nickerlova vyhlídka,49.9664,14.4115
Zámeček,49.8027,16.1685
Dutý buk,50.9742,14.4238
Metodka,49.6064,16.1473
Arberblick,49.1281,13.2317
U Čtyř buků,50.7587,15.431
Emergency hut,49.9544,14.7736
21,49.2232,17.6589
LKPR Spotting Point,50.1155,14.2651
Náklo,48.9384,17.1374
Vyhlídka Václava Hrubého,48.9334,13.7085
Bosenská skála,50.7362,15.384
Skalní vyhlídka,50.7392,15.4067
U obrázku,49.8912,14.4678
Výhled na hrad Kašperk,49.1653,13.5694
Labská vyhlídka Elisafex,50.8738,14.2364
věž Staré radnice,49.1931,16.6087
Klostermannova vyhlídka,49.1014,13.4801
Halda Ema,49.8397,18.3146
Vápenný,50.7888,14.8974
Krkavčí skály,50.7421,14.8917
Pohled od sjezdovky Morávka - Sviňorky směrem severovýchod,49.5887,18.5169
Křížový Vrch,50.6244,16.1264
Vyhlídka Špička Brnky,50.1484,14.4019
Aussichts-Kanzel,49.0611,13.3957
Pohled z úbočí Malého Travného,49.5607,18.5436
Rozhledna Lidové sady,50.7774,15.0809
Mache,50.5943,14.0828
Taková hezká skála,50.6034,14.9754
"Motýlí vrch, Ferdinandka",49.6945,13.991
Vyhlídka na Kapelu,50.5512,15.179
Bednář,49.8259,14.4506
Lovošská Pískovna,50.5242,14.0394
Velká Deštná - jih,50.3006,16.3978
vyhlídka pod Šerlichem,50.3261,16.3869
vyhlídka na Studeném,50.2928,16.3715
Bezručova vyhlídka,49.7128,18.3634
Vyhlídka U Rybárny,49.3866,14.1683
LKPR Spotting Point,50.1032,14.2501
LKPR Spotting Point,50.0966,14.2452
Vyhlídka Srdce,49.6656,14.2476
Klosova vyhlídka,50.3494,16.1535
Kluk,49.6575,13.3571
Nad Zdejcinou,49.9787,14.0381
Nad Zdejcinou,49.9789,14.0448
Nad Marastkem,49.5928,13.7284
Rozhledna Maják,50.4778,13.5432
Rozhledna u Křížku,48.8566,16.4718
Rozhledna Hustopeče,48.9535,16.7426
Nad Horními Albeřicemi,50.6902,15.8569
Lasocki Grzbiet,50.7301,15.8317
Śląskie Kamienie,50.776,15.6028
Šumavská vyhlídka,49.4292,13.2967
Juliina vyhlídka,50.6682,14.7564
Výhled na Měšno,49.6514,13.6284
Rozhledna Skalka,49.9897,14.783
Humboldtova vyhlídka,50.6493,14.0371
rozhledna Varta,50.3725,16.2039
U transformátoru,50.4679,16.0223
Hromobitka,50.4535,16.0213
Mečov,50.4644,16.017
Křížový vrch rozhledna,49.6219,13.2128
Křížka,49.9264,14.5706
Homolka 295 m n m,50.0153,14.3733
Krkavčí skála,50.6199,15.3031
Medvědí skála,49.5521,18.3999
Bílý kámen,49.6199,17.4531
Vyhlídka Pálavské náměstí,49.2058,16.6561
Astronomical observatory,49.2071,15.8759
Strážná hora,49.2099,15.8737
Zdebořická vyhlídka,49.3677,13.4132
Vyhlídka na Beskydy,49.779,18.425
Mostka rozhledna,50.5466,14.1372
Bašta,49.513,16.885
Vápenice,50.7127,14.9983
rozhledna Petrovice II,49.8142,15.0597
Svatý Kopeček,49.6291,17.3375
Kamenný vrch,49.185,16.5538
Jájina vyhlídka,50.7279,15.5612
Černá skála,50.7091,15.5656
Rozhledna,50.9348,15.0767
Výpust u Vlčnova,49.0121,17.5469
Lišky,49.624,18.3323
Na Magoni,49.6197,18.3063
Kopalova vyhlídka,50.6007,15.1706
Olověný vrch,50.3675,12.5115
Na Altánku,49.5552,15.0504
Krkavčí skála,49.41,14.1639
zvonička,49.6058,18.2512
Vyhlídka na Čertovu tchyni,50.544,16.2986
Supí hnízdo,50.564,16.2761
Skalní divadlo,50.5649,16.2732
Mikšova hora 578m,50.6969,15.3011
Arboretum Makču Pikču,49.8173,17.2225
rozhledna,50.0743,16.7686
Myší Skála,50.6293,15.3108
Jiřička,50.6169,15.3105
Moravská Jiřička,50.6206,15.3075
Čertovy kameny,50.2454,17.2363
Bradlo,49.8541,17.0543
Laffitova vyhlídka,50.5679,14.1634
Mayerův gloriet,50.2227,12.8799
rozhledna Kohout,50.7104,14.3143
rozhledna Strážný vrch,50.6872,14.3556
Rozhledna Kozinec,50.5192,15.5586
Junácká vyhlídka,50.5147,16.3091
Božanovský Špičák,50.5144,16.3176
Janovská vyhlídka,50.8738,14.245
Tisá skála,49.8452,15.419
Víťova vyhlídka,50.6494,14.2768
Hrad Adršpach,50.6174,16.1004
Grázlova vyhlídka,48.8917,15.6367
Slavenská vyhlídka,50.5364,16.2984
Vyhlídka na Veveří,49.2631,16.4667
Vyhlídka Stříbrník,50.1686,14.3514
Šumavská vyhlídka Zdeňka Hodka a strážovských turistů,49.3079,13.2482
Jurkovičova rozhledna,49.4624,18.1587
Vyhlídka nad Vysutým,49.6239,18.4973
Ptačí pozorovatelna,50.63,14.5464
Opevnění,50.1688,16.8657
"Drkolna, 729 m.n.m.",49.3381,13.3931
Zbojnická,49.4363,18.4647
Irenina Skala,50.4622,13.2689
Rozhledna Járy Cimrmana,49.647,16.512
Widok na Kotlinę Ostrawską,49.6056,18.8231
Rozhledna Kbíl,49.2182,13.8449
Okrouhlá,49.6806,18.2775
Schillerova vyhlídka,50.7873,14.6571
Lokomotiva,50.5919,16.1462
Sedmihůrská Vyhlídka,50.7084,13.8275
rozhledna Šibeniční vrch,49.5213,12.9605
Skála,49.8821,14.8792
rozhledna Hard,50.1778,12.6568
Ervínův hrad,50.4676,15.2743
Koráb rozhledna,49.3955,13.0752
Krkavec,49.8028,13.3415
Bolt Tower,49.8194,18.2767
Jelení skok,49.1032,14.4656
