name,lat,lon
Vyhlídka Finkenstein 688m,50.7426,15.2431
Skalní vyhlídka,50.7517,15.2813
Unnamed POI,50.747,15.3657
Unnamed POI,50.7327,14.9851
Unnamed POI,49.0799,15.2832
Bílá skála,50.7396,15.3753
BOROVSKÉ SKÁLY,50.731,15.4057
Šulíkova skála,50.7304,15.3237
Terezínka,50.7304,15.3059
Frýdlantské Cimbuří,50.8562,15.2171
Unnamed POI,49.0628,15.3257
Unnamed POI,49.5391,18.1961
Unnamed POI,50.0623,14.376
Unnamed POI,49.2611,17.854
Unnamed POI,50.3342,16.3483
Unnamed POI,49.5565,18.3918
Unnamed POI,49.6068,16.1526
Unnamed POI,49.1018,13.3356
Unnamed POI,49.2283,18.079
Unnamed POI,49.6671,12.677
Unnamed POI,49.0635,15.3209
Unnamed POI,49.1773,17.7493
Unnamed POI,49.1602,13.4016
Unnamed POI,49.9686,14.3251
Vyhlídka na jihozápad,50.3852,14.2878
Unnamed POI,50.599,15.1582
Albertovy skály,49.7254,14.3681
Velká Panoráma,50.6117,16.1132
Na Čihadle,50.833,15.2316
Unnamed POI,49.1968,16.9853
Javorový kopec,49.5863,16.3263
Unnamed POI,50.2124,17.0166
Unnamed POI,49.9686,14.1284
Unnamed POI,49.8543,13.0265
Böhmova vyhlídka,50.6206,15.3053
Unnamed POI,50.6209,15.3048
Unnamed POI,50.3574,12.8489
Hradek,50.3782,14.925
Unnamed POI,50.3746,14.9263
kamenné moře,50.1568,16.7906
Švédské šance,50.3888,14.927
Unnamed POI,50.7213,15.2252
Unnamed POI,50.8383,14.216
Labska vyhlidka,50.8286,14.2192
Unnamed POI,50.7922,14.4653
Radniční věž,49.5471,18.2117
Branžovský les,49.4267,13.2613
Plánický hřeben,49.4285,13.2752
Unnamed POI,49.4667,13.2781
Unnamed POI,49.9165,14.0649
Unnamed POI,49.5274,18.1617
Vyhlídka nad Tanvaldem,50.735,15.3114
Velká klečová louka,50.8312,15.2444
Jelínkův most,49.9155,14.0485
Skalní vyhlídka,50.7504,15.3758
Rysí skála,50.0883,17.1486
Unnamed POI,50.1531,17.1087
Unnamed POI,49.2219,13.522
Bellarie,49.8459,17.8476
Bezručova vyhlídka,49.856,17.8682
Unnamed POI,49.8639,17.8748
Černá stěna,50.8579,15.2306
Unnamed POI,50.8543,15.2231
Hajní Kostel,50.8614,15.2153
Muchov,50.7247,15.2934
Unnamed POI,50.8806,14.4177
Unnamed POI,49.7922,13.1761
Rozhledna Hanse Kudlicha,50.0505,17.7333
Unnamed POI,50.8133,15.2577
Unnamed POI,49.2521,15.4265
Radniční věž,50.4115,14.9031
Unnamed POI,50.801,15.2774
Unnamed POI,48.8843,15.8446
Unnamed POI,48.9425,15.7024
Unnamed POI,48.9852,17.4815
Unnamed POI,50.7003,15.3071
Vyhlídka,50.3854,14.2911
Unnamed POI,48.8034,14.2915
Unnamed POI,49.365,17.8272
Unnamed POI,49.3737,17.8387
Unnamed POI,49.413,17.8589
Unnamed POI,49.4139,17.8688
Unnamed POI,50.8245,15.1667
Clementsova vyhlídka,49.9777,12.7127
Unnamed POI,49.9774,12.7125
Vyhlídka Hartwiga Rupperta,50.1007,12.7896
Průrva Ploučnice,50.6872,14.7634
Unnamed POI,50.0573,15.536
Unnamed POI,49.5956,16.2808
Unnamed POI,49.6146,16.3127
Unnamed POI,49.6248,16.3117
Rozhledna na Smrku,50.8893,15.2718
Unnamed POI,49.399,17.0574
Rotštejn,50.5943,15.2242
Unnamed POI,50.6328,15.2064
Máj (448 m),49.8311,14.456
Výhled u posedu,50.7952,15.3325
Beethovenova vyhlídka,49.861,17.8741
Leonardova vyhlídka,49.8612,17.8735
Unnamed POI,49.862,17.8724
Unnamed POI,49.8633,17.8747
Unnamed POI,49.5584,16.2802
Unnamed POI,49.5695,16.2518
Unnamed POI,49.1698,16.8883
Unnamed POI,48.9661,16.7525
Unnamed POI,50.3333,12.7899
Unnamed POI,50.3341,12.8125
Unnamed POI,50.539,14.7201
Unnamed POI,50.7838,15.0973
Vyhlídka Liška,50.7199,15.4489
Vyhlídka na hrad Potštejn,50.0754,16.3014
Unnamed POI,50.7257,15.0001
Skalní vyhlídka,50.1988,17.0989
Unnamed POI,50.621,13.8533
Barunčina vyhlídka,50.4477,15.9981
Unnamed POI,50.4895,16.0005
Unnamed POI,50.7815,14.0447
Unnamed POI,50.7865,14.0419
Unnamed POI,48.6359,14.2319
Unnamed POI,50.7614,15.263
Unnamed POI,50.7703,15.2395
Unnamed POI,49.202,13.1393
Unnamed POI,50.104,14.3377
Unnamed POI,50.0517,16.6921
Vinařická hora,50.1851,14.0864
Slavíček,50.7299,14.6021
Unnamed POI,50.7251,14.6085
Výhled na Štěpánku,50.7619,15.3618
Zelená budka,49.7333,17.307
Unnamed POI,49.397,16.2866
Unnamed POI,49.3043,16.6772
Unnamed POI,50.7345,14.5888
Unnamed POI,50.734,14.5885
Velký medlánecký kopec,49.2344,16.5679
Unnamed POI,50.017,14.3883
Výhled na Český Šumburk,50.7296,15.3395
Unnamed POI,50.872,14.3473
Unnamed POI,50.6416,15.1916
Unnamed POI,50.6417,15.191
Unnamed POI,50.6419,15.1891
Unnamed POI,50.849,14.2214
Puklá skála,50.6946,13.5857
Unnamed POI,50.0161,17.1747
Vlčina,49.5427,18.1951
Koňská vyhlídka,50.1832,17.1015
Rajmanova vyhlídka,50.3231,12.7343
Unnamed POI,49.5607,18.225
Unnamed POI,49.1627,16.1657
Krásná stráň,49.9421,14.2704
Unnamed POI,49.2399,16.6757
Unnamed POI,49.1089,16.1848
Unnamed POI,49.7467,13.7516
Unnamed POI,50.4375,14.2925
Unnamed POI,49.4112,16.7571
Unnamed POI,50.438,14.2916
Rozhledna na Vlčí hoře,50.6467,13.6418
Unnamed POI,49.1852,17.4762
Unnamed POI,49.2051,17.4923
Unnamed POI,48.7536,16.1393
Vyhlídka u sv. Jana,49.5382,17.7455
Unnamed POI,50.0606,14.4223
Vrše,49.1209,17.2624
Hanesova vyhlídka,50.0091,16.698
Unnamed POI,50.0571,16.6848
